set auto mode enabled;false
set values;;highpower A1;;highpower A2;;highpower A3;;highpower A4;;highpower A5;;highpower A6;;highpower B1;;highpower B2;;highpower B3;;highpower B4;;highpower B5;;highpower B6;;highpower C1;;highpower C2;;highpower C3;;highpower C4;;highpower C5;;highpower C6;;highpower D1;;highpower D2;;highpower D3;;highpower D4;;highpower D5;;highpower D6;;humidity clean air;;humidity reactor;mf A1;mf A2;mf A3;mf A4;mf A5;mf A6;mf B1;mf B2;mf B3;mf B4;mf B5;mf B6;mf C1;mf C2;mf C3;mf C4;mf C5;mf C6;mf D1;mf D2;mf D3;mf D4;mf D5;mf D6;mf clean air;mf reactor;total mf amount;;;;temp cabinet;;;;temp reactor;;
;;1000.0;;1000.0;;1000.0;;1000.0;;1000.0;;1000.0;;1000.0;;1000.0;;1000.0;;1000.0;;1000.0;;1000.0;;1000.0;;1000.0;;1000.0;;1000.0;;1000.0;;1000.0;;1000.0;;1000.0;;1000.0;;1000.0;;1000.0;;1000.0;;85.0;;85.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;100.0;1000.0;650.0;1030.0;;;;37.0;;;;38.0;;
Id;sDateTime;highpower A1 [VOLTAGE_V];highpower enabled A1;highpower A2 [VOLTAGE_V];highpower enabled A2;highpower A3 [VOLTAGE_V];highpower enabled A3;highpower A4 [VOLTAGE_V];highpower enabled A4;highpower A5 [VOLTAGE_V];highpower enabled A5;highpower A6 [VOLTAGE_V];highpower enabled A6;highpower B1 [VOLTAGE_V];highpower enabled B1;highpower B2 [VOLTAGE_V];highpower enabled B2;highpower B3 [VOLTAGE_V];highpower enabled B3;highpower B4 [VOLTAGE_V];highpower enabled B4;highpower B5 [VOLTAGE_V];highpower enabled B5;highpower B6;highpower enabled B6;highpower C1 [VOLTAGE_V];highpower enabled C1;highpower C2 [VOLTAGE_V];highpower enabled C2;highpower C3 [VOLTAGE_V];highpower enabled C3;highpower C4 [VOLTAGE_V];highpower enabled C4;highpower C5 [VOLTAGE_V];highpower enabled C5;highpower C6 [VOLTAGE_V];highpower enabled C6;highpower D1 [VOLTAGE_V];highpower enabled D1;highpower D2 [VOLTAGE_V];highpower enabled D2;highpower D3 [VOLTAGE_V];highpower enabled D3;highpower D4 [VOLTAGE_V];highpower enabled D4;highpower D5 [VOLTAGE_V];highpower enabled D5;highpower D6 [VOLTAGE_V];highpower enabled D6;humidity clean air [PERCENTRF];humidity inlet [PERCENTRF];humidity reactor [PERCENTRF];massflow A1 [MASSFLOW_ml/min];massflow A2 [MASSFLOW_ml/min];massflow A3 [MASSFLOW_ml/min];massflow A4 [MASSFLOW_ml/min];massflow A5 [MASSFLOW_ml/min];massflow A6 [MASSFLOW_ml/min];massflow B1 [MASSFLOW_ml/min];massflow B2 [MASSFLOW_ml/min];massflow B3 [MASSFLOW_ml/min];massflow B4 [MASSFLOW_ml/min];massflow B5 [MASSFLOW_ml/min];massflow B6 [MASSFLOW_ml/min];massflow C1 [MASSFLOW_ml/min];massflow C2 [MASSFLOW_ml/min];massflow C3 [MASSFLOW_ml/min];massflow C4 [MASSFLOW_ml/min];massflow C5 [MASSFLOW_ml/min];massflow C6 [MASSFLOW_ml/min];massflow D1 [MASSFLOW_ml/min];massflow D2 [MASSFLOW_ml/min];massflow D3 [MASSFLOW_ml/min];massflow D4 [MASSFLOW_ml/min];massflow D5 [MASSFLOW_ml/min];massflow D6 [MASSFLOW_ml/min];massflow clean air [MASSFLOW_ml/min];massflow reactor [MASSFLOW_ml/min];total mass flow [MASSFLOW_l/h];differential pressure inlet [PRESSURE_MBAR];differential pressure reactor [PRESSURE_MBAR];differential pressure prefill [PRESSURE_MBAR];temperature A1 [°C];temperature A2 [°C];temperature B1 [°C];temperature B2 [°C];temperature C1 [°C];temperature C2 [°C];temperature cabinet [°C];temperature inlet [°C];temperature reactor [°C];temperature tube [°C];active error;active warning;
Tue Sep 29 10:01:28 CEST 2015;29/09/2015 10:01:27;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;1000.15857;true;1000.03656;true;0.0;false;0.0;false;0.0;false;0.0;false;999.98804;true;1000.00616;true;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;85.51661;39.771744;83.805954;99.48974;99.783005;99.492775;0.0;701.2048;721.9418;99.582214;99.758606;99.76166;100.09339;0.0;911.86584;99.33807;99.42627;99.69971;99.40734;0.0;341.97693;892.9397;949.89026;949.9405;0.0;0.0;0.0;993.6981;649.1195;1033.2394;49.998474;1.5625477;1.9074068;37.5;37.1;36.1;35.7;35.4;35.5;38.2;26.3;38.3;38.8;false;false;
Tue Sep 29 10:01:38 CEST 2015;29/09/2015 10:01:37;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;999.76196;true;999.90216;true;0.0;false;0.0;false;0.0;false;0.0;false;999.9938;true;999.8842;true;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;85.162704;39.73254;84.571556;99.65057;100.693985;98.99229;0.0;625.20935;588.94025;99.889824;100.21911;100.07995;100.14007;0.0;892.86;100.18648;99.98137;99.931015;99.77081;0.0;303.9685;778.95013;949.8914;949.9336;0.0;0.0;18.999924;994.8118;647.7554;1033.0563;49.998474;1.5533922;1.8707846;37.5;37.1;36.1;35.7;35.4;35.5;38.2;26.3;38.3;38.8;false;false;
Tue Sep 29 10:01:48 CEST 2015;29/09/2015 10:01:47;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;999.8535;true;999.8109;true;0.0;false;0.0;false;0.0;false;0.0;false;999.81696;true;1000.0733;true;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;85.64596;39.680813;85.150406;99.0564;99.82817;102.23849;0.0;682.1964;664.9332;99.87794;99.979256;99.909676;99.95758;0.0;759.87274;99.86664;99.902054;99.9704;99.59379;0.0;341.9699;778.9486;949.8929;949.94104;0.0;0.0;0.0;1001.5641;644.5418;1033.5397;49.998474;1.5930662;1.8646809;37.5;37.2;36.1;35.7;35.4;35.5;38.2;26.3;38.3;38.8;false;false;
Tue Sep 29 10:01:58 CEST 2015;29/09/2015 10:01:57;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;1000.1038;true;999.8842;true;0.0;false;0.0;false;0.0;false;0.0;false;999.9451;true;999.8719;true;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;85.360725;39.683002;85.89642;100.27284;99.86451;100.50599;0.0;796.1782;702.91693;99.77875;100.05922;100.039665;99.928604;0.0;797.8482;99.92368;99.910576;99.67439;99.561455;0.0;493.96292;759.9515;949.88947;949.9343;0.0;0.0;18.999924;1006.7676;645.76404;1033.84;49.998474;1.5320292;1.8646809;37.5;37.1;36.1;35.7;35.4;35.5;38.2;26.3;38.3;38.8;false;false;
Tue Sep 29 10:02:08 CEST 2015;29/09/2015 10:02:07;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;999.85956;true;1000.1953;true;0.0;false;0.0;false;0.0;false;0.0;false;999.9817;true;1000.17084;true;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;85.176056;39.65816;86.65866;98.79575;99.72565;100.329895;0.0;587.2055;626.93677;99.8236;99.89533;99.86024;99.94294;0.0;835.8532;100.11475;100.12543;99.99665;99.79157;0.0;398.97153;835.9443;949.8832;949.93414;0.0;0.0;18.999924;997.8714;650.0839;1034.1128;49.998474;1.5381329;1.882992;37.6;37.1;36.1;35.7;35.4;35.5;38.2;26.3;38.3;38.8;false;false;
Tue Sep 29 10:02:18 CEST 2015;29/09/2015 10:02:17;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;999.6827;true;999.8901;true;0.0;false;0.0;false;0.0;false;0.0;false;999.9451;true;999.9208;true;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;84.88989;39.65282;83.9091;100.531944;100.77242;99.49005;0.0;625.21014;664.9321;100.147705;99.83307;100.033264;99.92706;0.0;816.8625;100.002754;100.033875;100.166336;100.31647;0.0;398.9761;873.9442;949.8895;949.94055;0.0;0.0;0.0;997.0626;648.75946;1034.6163;49.998474;1.5381329;1.8982513;37.5;37.2;36.1;35.7;35.4;35.5;38.2;26.3;38.2;38.8;false;false;
Tue Sep 29 10:02:28 CEST 2015;29/09/2015 10:02:27;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;999.9941;true;999.76807;true;0.0;false;0.0;false;0.0;false;0.0;false;999.9571;true;999.8475;true;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;85.09519;39.627472;82.59169;99.57213;99.38383;100.22308;0.0;663.2319;588.9528;99.93622;99.98749;99.94539;99.94813;0.0;854.9024;99.68353;99.68474;100.372;99.826355;0.0;246.98709;892.9428;949.8936;930.93915;0.0;0.0;0.0;1004.5246;645.70605;1032.7743;49.998474;1.5900143;1.8799402;37.5;37.2;36.1;35.7;35.4;35.5;38.2;26.3;38.2;38.8;false;false;
Tue Sep 29 10:02:38 CEST 2015;29/09/2015 10:02:37;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;1000.06104;true;1000.2441;true;0.0;false;0.0;false;0.0;false;0.0;false;1000.0366;true;1000.42737;true;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;85.39778;39.618717;84.20038;99.5407;100.191345;100.13947;0.0;587.2257;588.95123;99.998474;100.1636;99.97284;100.1703;0.0;835.87854;100.030525;100.0867;99.78851;99.957275;0.0;303.98077;873.9454;949.8883;949.9436;0.0;0.0;18.999924;1006.882;644.7477;1033.4939;49.998474;1.3702811;2.0111697;37.5;37.2;36.1;35.8;35.4;35.5;38.2;26.3;38.2;38.8;false;false;
Tue Sep 29 10:02:48 CEST 2015;29/09/2015 10:02:47;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;999.9207;true;1000.11615;true;0.0;false;0.0;false;0.0;false;0.0;false;1000.03656;true;1000.2383;true;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;85.345505;39.571114;84.52984;100.65463;100.23225;99.91332;0.0;606.207;664.94696;99.96823;100.152275;99.90021;100.22552;0.0;797.8628;99.885254;99.48027;99.646614;100.10711;0.0;322.97458;759.9506;949.88916;949.93445;18.998703;0.0;18.999924;996.41406;647.1161;1034.435;49.998474;1.6144291;1.8951994;37.5;37.2;36.1;35.7;35.4;35.5;38.2;26.3;38.2;38.8;false;false;
Tue Sep 29 10:02:58 CEST 2015;29/09/2015 10:02:57;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;1000.0611;true;1000.0976;true;0.0;false;0.0;false;0.0;false;0.0;false;1000.0672;true;999.90857;true;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;0.0;false;84.92064;39.545387;85.36689;99.56329;100.601204;101.16031;0.0;511.23184;550.94354;100.174255;100.41322;100.355225;100.19044;0.0;721.87195;100.36956;99.94722;99.93743;100.06135;0.0;265.9785;816.94653;949.88245;949.93634;18.998703;0.0;18.999924;991.4396;650.4074;1035.0833;49.998474;1.5655996;1.8921475;37.5;37.2;36.1;35.7;35.4;35.5;38.2;26.3;38.2;38.8;false;false;
